Title,Price,Image_URL,Product_URL
"Aleksandr Dyuma: Graf Monte-Kristo (Asaxiy Books) (2ta kitob)","139000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68c26441a2671.jpg","https://asaxiy.uz/uz/product/aleksandr-dyuma-graf-monte-kristo-premium-tulik"
" Asaxiy Books yil bestsellerlari 2025  to‘plami - uygacha yetkazish bepul!","899000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/692d434059c69.png","https://asaxiy.uz/uz/product/asaxiy-books-yil-bestsellerlari-2025-tuplami"
"Kel Nyuport: Diqqat: Chalg‘ituvchi dunyoda muvaffaqiyat sirlari","39000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690060e079684.png","https://asaxiy.uz/uz/product/diqqat-chalgituvchi-dunyoda-muvaffaqiyat-sirlari"
"Nikolas Sparks: Hayot qadri","69000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6998474362f4f.png","https://asaxiy.uz/uz/product/nikolas-sparks-hayot-qadri"
"Malkolm Gladuell: Zukkolar va landavurlar","39000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69005b270fae3.png","https://asaxiy.uz/uz/product/malkolm-gladuell-zukkolar-va-landavurlar-kattik-mukova"
"Brayan Treysi: Samaradorlikning 21 yo‘li","29000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68f0935c2aed7.jpg","https://asaxiy.uz/uz/product/brajan-trejsi-samaradorlikning-21-juli"
"Devid Bax  Jon Devid Mann: Latte omili. Moliyaviy mustaqillik va erkin hayot sari","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690074a2456c0.png","https://asaxiy.uz/uz/product/devid-bah-zhon-devid-mann-latte-omili-badavlat-bulmai-boi-yashash-siri"
"Mahmudxo‘ja Behbudiy: Tanlangan asarlar (2-jild)","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/696b66c091357.jpg","https://asaxiy.uz/uz/product/mahmudhuzha-behbudij-tanlangan-asarlar-2-qism"
"Mark Menson: Beparvolikning nozik san’ati (yumshoq muqova)","29000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69005c55ecb36.png","https://asaxiy.uz/uz/product/mark-menson-beparvolikning-nozik-sanati"
"Mey Mask: Rejali ayol. Baxtli hayot qoidalari (Fleksibl muqova)","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690078a0051bf.png","https://asaxiy.uz/uz/product/mey-mask-rejali-ayol-bahtli-ayol-qoidalari"
"Rey Bredberi: Farengeyt bo'yicha 451º","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69007245dc2c6.png","https://asaxiy.uz/uz/product/rei-bredberi-farengeit-buiicha-451-predzakaz"
"Allan Dib: Bir varaqli marketing reja","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690071cb50d83.png","https://asaxiy.uz/uz/product/allan-dib-bir-varakli-marketing-rezha"
"Charlz Uilan: Yalang‘och iqtisodiyot. Murakkab sohaning sodda qiyofasi","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900736bb3f22.png","https://asaxiy.uz/uz/product/charlz-uilan-yalangoch-iktisodiet"
"Brayan Dumeyn: Bezonomika","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/693fbda93192e.jpg","https://asaxiy.uz/uz/product/brayan-dumeyn-bezonomika"
"Ato Hamdam  Leonid Chigrin: Yapon zobiti. Yutaro Todaning asirlikda boshdan kechirganlari","69000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69007520f08d6.png","https://asaxiy.uz/uz/product/ato-hamdam-leonid-chigrin-yapon-zobiti-yutaro-todaning-asirlikda-boshdan-kechirganlari"
"Stiven R. Kovi: Muvaffaqiyatli insonlarning 7 ko‘nikmasi (Fleksibl muqova)","109000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900603c7faf8.png","https://asaxiy.uz/uz/product/stiven-r-kovi-muvaffaqiyatli-insonlarning-7-kunikmasi-attiq-muqova"
"Deniyel Kiz: Eljernonga atalgan gullar","40000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690097fa4426d.png","https://asaxiy.uz/uz/product/deniel-kiz-elzhernonga-atalgan-gullar-predzakaz"
"Barbara Oukli: Raqamlar uchun yaralgan idrok. Matematika va tabiiy fanlarni qanday qoyillatsa bo'ladi","40000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690076297395b.png","https://asaxiy.uz/uz/product/barbara-oukli-raqamlar-uchun-yaralgan-idrok"
"Mark Tven: Tom Soyerning sarguzashtlari","79000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/695387bb175c2.jpg","https://asaxiy.uz/uz/product/mark-tven-tom-soyerning-sarguzashtlari"
"Stiven R. Kovi: Muvaffaqiyatli insonlarning 7 ko‘nikmasi","69000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900607c44ebe.png","https://asaxiy.uz/uz/product/stiven-r-kovi-muvaffakiyatli-insonlarning-7-kunikmasi-yumshok-mukova"
"Anastasiya Sokolova-Bualle: Fransiya siyrati","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/695f789fd10d1.jpg","https://asaxiy.uz/uz/product/anastasiya-sokolova-bualle-franciya-siyrati"
"Javlon Jovliyev: Qo‘rqma","45000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690061c064bf8.png","https://asaxiy.uz/uz/product/zhavlon-zhovliev-kurkma-yumshok-mukova"
"Uolter Ayzekson: Stiv Jobs (Fleksibl muqova)","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68f09386d119e.jpg","https://asaxiy.uz/uz/product/uolter-ajzekson-stiv-dzhobs"
"Jeyms Klir: Atom odatlar","39000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68f0933bbaf93.jpg","https://asaxiy.uz/uz/product/zheims-klir-atom-odatlar"
"Birgalikda arzon! Talaba + Binafsha shu’lasi","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/699eb777233ba.jpg","https://asaxiy.uz/uz/product/birgalikda-arzon-talaba-binafsha-shulasi"
"Jorj Oruell: Molxona","26000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690058db6badf.png","https://asaxiy.uz/uz/product/zhorzh-oruell-molhona"
"Den Braun: Raqamli qalʼa","49000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900596fb1c73.png","https://asaxiy.uz/uz/product/dfadfadfadfadfadfadfaden-braun-raqamli-qala-18-yumshoq-muqova-bestseller"
"Jorj Oruell: 1984","39000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690057d0013a4.jpg","https://asaxiy.uz/uz/product/zhorzh-oruell-1984"
"Piter Hopkirk: Katta o'yin. Ikki imperiya to'qnashuvi","79000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690072ecc0d05.png","https://asaxiy.uz/uz/product/piter-hopkirk-katta-uiin-ikki-imperiya-tuknashuvi"
"Otabek Mahkamov: Yuksaklik sari tasodif bo'lmagan 100 ta uchrashuv (Fleksibl muqova)","169000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6746a40831a42.jpg.webp","https://asaxiy.uz/uz/product/otabek-mahkamov-yuksaklik-sari-tasodif-bulmagan-100-ta-uchrashuv-fleksibl-muqova"
"Devid Nikolls: Bir kun. Bir muhabbat tarixi","64900","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690076a2524ac.png","https://asaxiy.uz/uz/product/devid-nikolls-bir-kun-bir-muhabbat-tarihi-predzakaz"
"Daron Ajemo‘g‘li  Jeyms A. Robinson: Mamlakatlar tanazzuli sabablari: qudrat  farovonlik va kambag‘allik manbalari (Fleksibl muqova)","85000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690064b4417bc.png","https://asaxiy.uz/uz/product/daron-azhemugli-zheims-a-robinson-mamlakatlar-tanazzuli-sabablari-kudrat-farovonlik-va-kambagallik-manbalari-kattik-mukova"
"Jon G. Miller: SOS! Savol ortidagi savol","29000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900614ecdc75.png","https://asaxiy.uz/uz/product/zhon-g-miller-coc-savol-ortidagi-savol"
"Larisa Burakova: Gruziya muvaffaqiyatga qanday erishdi","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69006e3d2426c.png","https://asaxiy.uz/uz/product/larisa-burakova-gruziya-muvaffakiyatga"
"Kleyton M.Kristenson  Efosa Ojomo  Karen Dillon: Farovonlik paradoksi","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69008e2ed8ed9.png","https://asaxiy.uz/uz/product/kleyton-mkristenson-efosa-ojomo-karen-dillon-farovonlik-paradoksi"
"Jyul Vern: Kapitan Grant bolalari","85000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900701eb50ff.png","https://asaxiy.uz/uz/product/zhyul-vern-kapitan-grant-bolalari"
"Jeyms Klir: Atom odatlar (Flexible. Premium sifat)","79000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900a640c756a.jpg","https://asaxiy.uz/uz/product/zheims-klir-atom-odatlar-kattik-mukova"
"Klaus Shvab: To'rtinchi sanoat inqilobi","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69007327569a6.png","https://asaxiy.uz/uz/product/klaus-shvab-turtinchi-sanoat-inkilobi-oldindan-buyurtma"
"Hans Rosling: Factfulness (yumshoq muqova)","60000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690070e4b31e9.png","https://asaxiy.uz/uz/product/hans-rosling-faktdorlik-predzakaz"
"O'lmas Umarbekov: Odam bo'lish qiyin","19000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6618d88632411.png.webp","https://asaxiy.uz/uz/product/ulmas-umarbekov-odam-bulish-qiyin-turon-zamin"
"Robert Grin: Hokimiyatning 48 qoidasi","85000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68a57e58239ae.jpg","https://asaxiy.uz/uz/product/robert-grin-hokimiyatning-48-koidasi"
"Teodor Drayzer: Sarmoyador","69000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69006f518150e.png","https://asaxiy.uz/uz/product/teodor-draizer-sarmoyador"
"Eliyahu M. Goldratt  Jeff Koks: Maqsad. Uzluksiz takomillashuv jarayoni","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68ef7f9138e47.jpg","https://asaxiy.uz/uz/product/eliyahu-m-goldratt-maqsad-uzluksiz-takomillashuv-jarayoni"
"Oldos Haksli: Ajib yangi dunyo","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900678070722.png","https://asaxiy.uz/uz/product/oldos-haksli-azhib-yangi-dune-predzakaz"
"Tara Vestover: Talaba (yumshoq muqova)","69000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69008d826620d.png","https://asaxiy.uz/uz/product/tara-vestover-talaba-yumshoq-muqova"
"Usoma Muslim: Binafsha shu'lasi","65000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/699eb81a1418c.jpg","https://asaxiy.uz/uz/product/usoma-muslim-binafsha-shulasi"
"Henri Ford: Mening hayotim","60000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69005dd4af289.png","https://asaxiy.uz/uz/product/enri-ford-mening-hayotim"
"Abdurazzoq Gurna: Jannat","70000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690096178e255.png","https://asaxiy.uz/uz/product/abdurazzoq-gurna-jannat"
"Kel Nyuport: Diqqat: Chalg‘ituvchi dunyoda muvaffaqiyat sirlari (qattiq muqova)","89000","https://assets.asaxiy.uz/product/main_image/desktop/69009a0746135.png","https://asaxiy.uz/uz/product/kel-nyuport-dikkat-chalgituvchi-duneda-muvaffakiyat-sirlari-kattik-mukova"
"Robert Grin: Mahorat","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69008b116034a.png","https://asaxiy.uz/uz/product/robert-grin-mahorat"
"Shayx Muhammad Sodiq Muhammad Yusuf: Baxtiyor oila (lotin alifbosida)","69000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/62a977e01acfe.jpg.webp","https://asaxiy.uz/uz/product/shaih-muhammad-sodik-muhammad-yusuf-bahtier-oila-lotin-alifbosida"
"Grant Kardon: Savdo san’ati. Biznes va hayotda maqsadlaringizga erishish yo'li","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69008ad615d26.png","https://asaxiy.uz/uz/product/grant-kardon-savdo-sanati-biznes-va-hayotda-maqsadlaringizga-erishish-yuli"
"Yuy Xua: Yashamoq","56000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68a57a6d3455f.jpg","https://asaxiy.uz/uz/product/yuy-hua-yashamoq"
"Robert Chaldini: Ta’sir psixologiyasi","89000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68a57f9a404d6.jpg","https://asaxiy.uz/uz/product/robert-chaldini-tasir-psihologiyasi-kattik-mukova"
"Jordan Piterson: Hayot uchun 12 qoida. Tartibsizlikka qarshi malham","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690095a24a14d.png","https://asaxiy.uz/uz/product/jordan-piterson-hayot-uchun-12-qoida-tartibsizlikka-qarshi-malham"
"Sun Zi: Urush san'ati","39000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69009702e9b5d.png","https://asaxiy.uz/uz/product/sun-czi-urush-sanati"
"Yoz  qisqartir: Kuchli matn yozish siri","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69008b5b39fba.png","https://asaxiy.uz/uz/product/yoz-qisqartir-kuchli-matn-yozish-siri"
"Henri Marsh: Ozor berma: Hayot  o'lim va neyrojarrohlik","75000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69007729228f8.png","https://asaxiy.uz/uz/product/henri-marsh-ozor-berma-hayot-ulim-va-neyrojarrohlik"
"Marg'ulan Seysemboy: Uddalasa bo'ladigan vazifa: Baxtli hayot texnologiyasi","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69009798036b8.png","https://asaxiy.uz/uz/product/margulan-seysemboy-uddalasa-buladigan-vazifa-bahtli-hayot-tehnologiyasi"
"Erve Le Tellye: Anomaliya","80000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69009669cedb5.png","https://asaxiy.uz/uz/product/erve-le-telle-anomaliya"
"Den Braun: Ibtido","119000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69006406d1639.png","https://asaxiy.uz/uz/product/den-braun-ibtido"
"Imom Abu Homid G‘azzoliy: Mukoshafatul qulub","99000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/67139f2222d7a.jpg.webp","https://asaxiy.uz/uz/product/imom-abu-homid-gazzoliy-mukoshafatul-qulub"
"Mishel Obama: Mening hikoyam. PREMYERA!","89000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68ef88e637e57.jpg","https://asaxiy.uz/uz/product/mishel-obama-mening-hikoyam"
"Ramita Navai: Yolg‘onlar shahri (18+)","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69005d1c1eda8.png","https://asaxiy.uz/uz/product/ramita-navai-yolgonlar-shahri"
"Svetlana Aleksiyevich: Chernobil tavallosi. Nobel mukofoti sovrindori.","49000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900728744387.png","https://asaxiy.uz/uz/product/svetlana-aleksievich-chernobil-tavallosi-predzakaz"
"Piter Til  Bleyk Masters: Noldan birga. Startaplar haqida qaydlar yoxud kelajakni qanday qurish mumkin","89000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69007429cd690.png","https://asaxiy.uz/uz/product/piter-til-bleyk-masters-noldan-birga-startaplar-haqida-qaydlar-yohud-kelajakni-qanday-qurish-mumkin"
"Dunyo daholari: Stiv Jobs - Kompyuterga jon bergan odam","75000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900910dca1bf.png","https://asaxiy.uz/uz/product/stiv-jobs-dunyo-daholari-kompyuterga-jon-bergan-odam"
"Ahmad Lutfiy Qozonchi: Saodat asri qissalari (I-IV kitoblar  4 juz) Tutqichli","249000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/680a3f4915c77.jpg.webp","https://asaxiy.uz/uz/product/ahmad-lutfiy-qozonchi-saodat-asri-qissalari-i-iv-kitoblar-4-juz-tutqichli"
"Dunyo daholari: Albert Eynshteyn - Serqirra daho","75000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900944e71c3a.png","https://asaxiy.uz/uz/product/dunyo-daholari-albert-eynshteyn-serqirra-daho"
